REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY, WEBSITE ADDRESS, FAX/TELEPHONE NO.
02 - Cagayan Valley,Nueva Vizcaya State University - Main Bayombong,SUC,Nueva Vizcaya,Bayombong,http://www.nvsu.edu.ph,(078) 392-1111,
02 - Cagayan Valley,Nueva Vizcaya State University-Bambang,SUC,Nueva Vizcaya,Bambang,nvsu.edu.ph,(078) 392-1111,
02 - Cagayan Valley,Our Lady of the Pillar College-Cauayan,Private,Isabela,City of Cauayan,http://www.olpcc.edu.ph,(078) 652-0685 / (078) 652-1748,
02 - Cagayan Valley,Patria Sable Corpus College,Private,Isabela,City of Santiago,lpc.edu.ph,(078) 305 3166,
02 - Cagayan Valley,PLT College,Private,Nueva Vizcaya,Bayombong,http://www.pltcollege.educ.ph/mainhtml,(078) 805-3682,
02 - Cagayan Valley,Philippine Normal University-North Luzon Campus,SUC,Isabela,Alicia,http://www.pnu.edu.ph,(078) 662-8016,
02 - Cagayan Valley,Quezon Colleges of the North,Private,Cagayan,Ballesteros,http://www.qcn-ballesteros.net/,(078) 846 - 4763,
02 - Cagayan Valley,Quirino State University - Cabarroguis,SUC,Quirino,Cabarroguis,qsu.edu.ph,none,
02 - Cagayan Valley,Quirino State University,SUC,Quirino,Diffun,qsu.edu.ph,none,
02 - Cagayan Valley,Quirino State University - Maddela,SUC,Quirino,Maddela,qsu.edu.ph,none,
02 - Cagayan Valley,Saint Anthony's College,Private,Cagayan,Santa Ana,,,
02 - Cagayan Valley,Saint Dominic College of Batanes,Private,Batanes,Basco,,NONE,
02 - Cagayan Valley,St. Ferdinand College-Ilagan,Private,Isabela,City of Ilagan,sfc.edu.ph,078-624-0667,
02 - Cagayan Valley,Saint Joseph's College of Baggao,Private,Cagayan,Baggao,sjcbi.edu.ph,9050000000,
02 - Cagayan Valley,University of Saint Louis-Tuguegarao,Private,Cagayan,Tuguegarao City,http://www.usl.edu.ph,(078) 844-1872; 844-1873; 844-1822,
02 - Cagayan Valley,Saint Mary's University of Bayombong,Private,Nueva Vizcaya,Bayombong,http://www.smunet@smu.edu.ph,078-321-2221,
02 - Cagayan Valley,Saint Paul University Philippines,Private,Cagayan,Tuguegarao City,http://www.spup.edu.ph,(078) 396-1987 to 1994,
02 - Cagayan Valley,Mallig Plains Colleges,Private,Isabela,Mallig,,n/a,
02 - Cagayan Valley,FL Vargas College-Tuguegarao,Private,Cagayan,Tuguegarao City,,(078)844-7941,
02 - Cagayan Valley,Philippine Law Enforcement College,Private,Cagayan,Tuguegarao City,,,
02 - Cagayan Valley,International School of Asia and the Pacific,Private,Cagayan,Peñablanca,http://www.isap.edu.ph,(078)304-1010,
02 - Cagayan Valley,Isabela College of Arts and Technology,Private,Isabela,City of Cauayan,,N/A,
02 - Cagayan Valley,AMA Computer College-Santiago City,Private,Isabela,City of Santiago,http://www.amaes.edu.ph,078-2585-010,
02 - Cagayan Valley,Cagayan Valley Computer and Information Technology College,Private,Isabela,City of Santiago,cvcitc.edu.ph,(078)305-0139,
02 - Cagayan Valley,John Wesley College,Private,Cagayan,Tuguegarao City,,078-844-1002,
02 - Cagayan Valley,AMA Computer College-Tuguegarao City,Private,Cagayan,Tuguegarao City,,(078)304-2978,
02 - Cagayan Valley,SISTECH College of Santiago City,Private,Isabela,City of Santiago,,(078) 305-0849,
02 - Cagayan Valley,Santiago City Colleges,Private,Isabela,City of Santiago,santiago city colleges,078-305-1758,
02 - Cagayan Valley,Saint Ferdinand College-Cabagan Campus,Private,Isabela,Cabagan,http://www.sfc.edu.ph,078-6363376,
02 - Cagayan Valley,F.L. Vargas College-Abulug Campus,Private,Cagayan,Abulug,,None,
02 - Cagayan Valley,Metropolitan School of Science and Technology,Private,Isabela,City of Santiago,,(078) 258-1451,
02 - Cagayan Valley,University of Perpetual Help System,Private,Isabela,City of Cauayan,http://www.isabela.uphsl.edu.ph,,
02 - Cagayan Valley,King's College of the Philippines-Bambang,Private,Nueva Vizcaya,Bambang,,908 610 3848,
02 - Cagayan Valley,Global Academy of Technology and Entrepreneurship,Private,Isabela,City of Santiago,,078 258 9934,
02 - Cagayan Valley,HGBaquiran College,Private,Isabela,Tumauini,,078-323-1113,
02 - Cagayan Valley,Infant Jesus Montessori School (College Department),Private,Isabela,City of Santiago,,078-305-1609,
02 - Cagayan Valley,Maila Rosario Colleges,Private,Cagayan,Tuguegarao City,mrc.edu.ph,(078) 377-2491,
02 - Cagayan Valley,Our Lady of the Pillar College-Cauayan San Manuel Branch,Private,Isabela,San Manuel,olpcsmi.edu.ph,NONE,
02 - Cagayan Valley,Northeast Luzon Adventist College,Private,Isabela,Alicia,nelacollege.edu.ph,,
02 - Cagayan Valley,Cagayan State University-Andrews,SUC,Cagayan,Tuguegarao City,https://csu.edu.ph/,(078) 844-0430,
02 - Cagayan Valley,Isabela State University-Palanan Campus,SUC,Isabela,Palanan,http://www.isu.edu.ph,,
02 - Cagayan Valley,La Salette of Roxas College,Private,Isabela,Roxas,,,
02 - Cagayan Valley,STI College-Cauayan,Private,Isabela,City of Cauayan,,,
03 - Central Luzon,Angeles University Foundation,Private,Pampanga,City of Angeles,http://www.auf.edu.ph,(045) 625-2888,
03 - Central Luzon,Sto. Rosario Sapang Palay College,Private,Bulacan,City of San Jose Del Monte,storosariospci.edu.ph,(044) 913-0006,
03 - Central Luzon,Baliuag University,Private,Bulacan,Baliuag,http://www.baliuagu.edu.ph,(044) 766-2045,
03 - Central Luzon,Baliwag Maritime Foundation,Private,Bulacan,San Rafael,http://www.bma.edu.ph,(044) 766-0316,
03 - Central Luzon,Bataan Peninsula State University-Dinalupihan,SUC,Bataan,Dinalupihan,http://www.bpsu.edu.ph,(047) 481-1765,
03 - Central Luzon,Bataan Peninsula State University-Abucay,SUC,Bataan,Abucay,http://www.bpsu.edu.ph,(047) 237-5830 2350,
03 - Central Luzon,Bataan Peninsula State University-Bagac,SUC,Bataan,Bagac,http://www.bpsu.edu.ph,(047) 237-5830 2350,
03 - Central Luzon,Bataan Heroes Memorial College,Private,Bataan,City of Balanga,http://www.bhmc.edu.ph,(047) 237-2383  0967-0181405,
03 - Central Luzon,Bulacan Agricultural State College,SUC,Bulacan,San Ildefonso,basc.edu.ph,(044) 792-4409 / (044) 816-7121,
03 - Central Luzon,Bulacan State University-Main,SUC,Bulacan,City of Malolos,http://www.bulsu.edu.ph,(044) 791 0153,
03 - Central Luzon,Bulacan State University-Bustos,SUC,Bulacan,City of Malolos,http://www.bulsu.edu.ph,(044) 791 0153,
03 - Central Luzon,Bulacan State University-San Jose Del Monte,SUC,Bulacan,City of San Jose Del Monte,http://www.bulsu.edu.ph,(044) 791 0153,
03 - Central Luzon,Bulacan State University-Meneses,SUC,Bulacan,Bulacan,http://www.bulsu.edu.ph,(044) 791 0153,
03 - Central Luzon,Bulacan State University-Hagonoy,SUC,Bulacan,Hagonoy,http://www.bulsu.edu.ph,(044) 791 0153,
03 - Central Luzon,Camiling Colleges,Private,Tarlac,Camiling,,(045)-934-0575,
03 - Central Luzon,CIT Colleges of Paniqui Foundation,Private,Tarlac,Paniqui,,(045) 470-8687,
03 - Central Luzon,Central Luzon Doctors' Hospital Educational Institution,Private,Tarlac,City of Tarlac,http://www.cldhei.edu.ph,(045) 982-50-19,
03 - Central Luzon,Central Luzon College of Science and Technology-Olongapo City,Private,Zambales,City of Olongapo,http://www.clcst.edu.ph,(047)223-5855,
03 - Central Luzon,Nueva Ecija University of Science and Technology-Main,SUC,Nueva Ecija,City of Cabanatuan,neust.edu.ph,(044) 463-0226,
03 - Central Luzon,Central Luzon State University,SUC,Nueva Ecija,Science City of MuÃ±oz,https://clsu.edu.ph,(044) 456-0107,
03 - Central Luzon,Centro Escolar University-Malolos City,Private,Bulacan,City of Malolos,http://www.ceu.edu.ph,(044) 7916359,
03 - Central Luzon,Colegio De San Pascual Baylon,Private,Bulacan,Obando,http://www.cspb.edu.ph,(02) 8292-4534,
03 - Central Luzon,College of the Immaculate Conception,Private,Nueva Ecija,City of Cabanatuan,http://www.cic.edu.ph,(044) 463-8101,
03 - Central Luzon,CORE Gateway College,Private,Nueva Ecija,San Jose City,,044-4864173,
03 - Central Luzon,Columban College-Olongapo City,Private,Zambales,City of Olongapo,http://www.columban.edu.ph,(047) 222-3329,
03 - Central Luzon,College for Research and Technology-Cabanatuan City,Private,Nueva Ecija,City of Cabanatuan,http://www.crt.edu.ph;http://www.facebook.com/crtcab1988/,(044) 463-2735,
03 - Central Luzon,World Citi Colleges Guimba Campus,Private,Nueva Ecija,Guimba,http://www.world citi.edu.ph,044-331-3726,
03 - Central Luzon,Divina Pastora College,Private,Nueva Ecija,City of Gapan,dpc.edu.ph,(044) 486- 0569,
03 - Central Luzon,Dominican College of Tarlac,Private,Tarlac,Capas,https://dct.edu.ph/,,
03 - Central Luzon,Don Honorio Ventura State University - Main,SUC,Pampanga,Bacolor,http://www.dhvsu.edu.ph,045-649-8050,
03 - Central Luzon,Don Honorio Ventura State University - Mexico,SUC,Pampanga,Mexico,http://www.dhvsu.edu.ph,045-649-8050,
03 - Central Luzon,Don Honorio Ventura State University - Porac,SUC,Pampanga,Porac,http://www.dhvsu.edu.ph,045-649-8050,
03 - Central Luzon,Don Honorio Ventura State University - Sto. Tomas,SUC,Pampanga,Sto. Tomas,http://www.dhvsu.edu.ph,045-649-8050,
03 - Central Luzon,Dr. Gloria D. Lacson Foundation Colleges - Nueva Ecija,Private,Nueva Ecija,San Leonardo,https://glorialacsoncolleges.edu.ph,(044) 485-2919,
03 - Central Luzon,Dr. Yanga's Colleges,Private,Bulacan,Bocaue,http://www.dyci.edu.ph,(044) 617-3419,
03 - Central Luzon,General De Jesus College,Private,Nueva Ecija,San Isidro,http://www.gendejesus.edu.ph,(044) 940-6181,
03 - Central Luzon,The Good Samaritan Colleges,Private,Nueva Ecija,City of Cabanatuan,http://www.goodsam.edu.ph,044-464-3212 to 3215,
03 - Central Luzon,Guagua National Colleges,Private,Pampanga,Guagua,http://www.gnc.edu.ph,(045)900341,
03 - Central Luzon,Holy Angel University,Private,Pampanga,City of Angeles,http://www.hau.edu.ph,(63) 045-625-5748,
03 - Central Luzon,Holy Cross College-Nueva Ecija,Private,Nueva Ecija,Santa Rosa,,(044) 940-0237,
03 - Central Luzon,Holy Cross College-Pampanga,Private,Pampanga,Santa Ana,http://www.holycrosscollegepampanga.edu.ph/,9980000000,
03 - Central Luzon,Immaculate Conception Major Seminary,Private,Bulacan,Guiguinto,http://www.icmasbulacan.com,044-7940121,
